priority,title,labels
P0,"fix(storage): restore Storage class methods and audit table initialization","P0,bug,core"
P0,"fix(engine): restore TradingEngine.run_forever and _update_quality method scope","P0,bug,engine"
P0,"test(smoke): add import and bootstrap smoke tests for main modules","P0,test"
P0,"ci: run pytest and lint checks instead of compile-only validation","P0,ci"
P0,"chore(repo): remove local artifacts and harden gitignore","P0,cleanup"
P0,"docs(readme): turn root README into the primary project entrypoint","P0,docs"
P1,"feat(validation): verify end-to-end paper trading loop","P1,integration,trading"
P1,"feat(audit): persist bracket order creation records in OrderService","P1,execution,audit"
P1,"test(universe): add integration-style tests for universe building logic","P1,test,universe"
P1,"test(strategy): add deterministic unit tests for MR/BO/regime/fusion logic","P1,test,strategy"
P1,"docs(config): document runtime configuration contract for ibkr and risk settings","P1,docs,config"
P1,"docs(runbook): add paper-trading runbook for IB Gateway/TWS startup and validation","P1,docs,ops"
P2,"refactor(data): consolidate duplicate realtime 5m aggregation paths","P2,refactor,market-data"
P2,"feat(strategy): define backtest-compatible strategy interface shared with live engine","P2,strategy,backtest"
P2,"feat(resilience): add reconnect and degraded-mode handling for broker/session interruptions","P2,ops,resilience"
P2,"feat(reporting): generate structured daily summaries from audit database","P2,reporting,audit"
P2,"chore(packaging): normalize imports and define a standard launcher path","P2,packaging,cleanup"
P2,"feat(safety): add explicit live-mode safeguards before enabling live trading","P2,safety,live-trading"
